Service Unit,Bill Unit,Pay Unit,Bill Rate,Pay Rate,Payroll OTUnits,Payroll UnitsWithoutOT,Payroll OTAmount,Payroll RegAmount,Total Payroll Amount,Gender,Age,Marital Status,Race,IsCaregiverTerminated,CaregiverTenureYears,Caregiver Attributes_Can do Nights,Caregiver Attributes_Can do Days
Caregiver Training,Hourly,Hourly,35,0,0,3.93,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Personal Care,Hourly,Hourly,36,22.5,0,4,0,90,90,Female,52,Unknown,British Canadian,1,6,1,1
Personal Care,Hourly,Hourly,34,22,0,6,0,132,132,Female,52,Unknown,British Canadian,1,6,1,1
Personal Care,Hourly,Hourly,41,18,0,12,0,216,216,Female,55,Single,Middle Eastern Canadian,1,5,0,1
RPNRN Shift,Hourly,Hourly,60,40,0,2,0,80,80,Female,60,Married,Middle Eastern Canadian,1,10,1,1
Personal Care,Hourly,Hourly,34,21,0,4,0,84,94,Male,55,Single,Middle Eastern Canadian,1,3,1,1
Palliative,Hourly,Hourly,36,21.5,0,12,0,258,278,Female,36,Married,Middle Eastern Canadian,0,1,1,1
Personal Care,Hourly,Hourly,36,21.5,0,6.02,0,129.43,129.43,Female,62,Unknown,British Canadian,0,3,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,36,22,0,4,0,88,88,Female,60,Unknown,Hispanic or Latino Canadian,0,3,1,0
Personal Care,Hourly,Hourly,33,19,0,4,0,76,76,Male,56,Married,Middle Eastern Canadian,1,3,1,1
Personal Care,Hourly,Hourly,36,21.5,0,8,0,172,175.84,Female,53,Unknown,Middle Eastern Canadian,0,2,1,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Personal Care,Hourly,Hourly,33,21,0,12,0,252,252,Female,46,Divorce,Eastern European Canadian,0,0,0,1
Personal Care,Hourly,Hourly,34,19,0,3,0,57,57,Female,28,Single,Middle Eastern Canadian,1,4,0,1
Personal Care,Hourly,Hourly,34,22,0,10,0,220,220,Female,59,Married,Asian Canadian,0,7,0,1
Personal Care,Hourly,Hourly,31,19,0,12,0,228,228,Female,49,Unknown,Middle Eastern Canadian,1,3,0,1
Palliative,Hourly,Hourly,35,19,0,12,0,342,342,Female,27,Single,Caribbean Canadian,0,4,1,1
Live-In,Visit,Visit,497.25,321.75,0,0.36,0,115.83,115.83,Female,52,Married,African Canadian,0,2,1,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,43,Married,Middle Eastern Canadian,1,3,0,1
Personal Care,Hourly,Hourly,41,21,0,12,0,252,252,Female,52,Married,Middle Eastern Canadian,0,5,1,1
Personal Care,Hourly,Hourly,41,22,0,12,0,264,264,Female,55,Single,Middle Eastern Canadian,1,5,0,1
Personal Care,Hourly,Hourly,32,21,0,12,0,252,252,Male,40,Married,Asian Canadian,1,11,1,0
Personal Care,Hourly,Hourly,41,19,0,13,0,247,247,Female,52,Unknown,Middle Eastern Canadian,0,4,1,1
Personal Care,Hourly,Hourly,41,22,0,8,0,176,176,Female,45,Married,Middle Eastern Canadian,1,4,0,1
Personal Care,Hourly,Hourly,34,21.5,0,10,0,215,215,Female,45,Married,Asian Canadian,0,2,0,1
Personal Care,Hourly,Hourly,32,20,0,6,0,120,120,Female,60,Married,Middle Eastern Canadian,1,10,1,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,38,21,0,8.25,0,173.25,173.25,Female,48,Married,Middle Eastern Canadian,1,1,0,1
Personal Care,Hourly,Hourly,36,22,0,8,0,176,176,Female,60,Unknown,Hispanic or Latino Canadian,0,3,1,0
Personal Care,Hourly,Hourly,37,21.5,0,9.5,0,204.25,204.25,Female,43,Married,Middle Eastern Canadian,0,2,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,32,20,0,4,0,80,80,Female,32,Single,French Canadian,1,3,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,36,21,0,12,0,252,272,Female,52,Married,African Canadian,0,2,1,1
Personal Care,Hourly,Hourly,38,21.5,0,4,0,86,86,Female,52,Unknown,Middle Eastern Canadian,0,4,1,1
Personal Care,Hourly,Hourly,35,22,0,5,0,165,165,Male,40,Married,Asian Canadian,1,11,1,0
Palliative,Hourly,Hourly,38,21,0,9,0,189,189,Male,52,Married,African Canadian,1,8,1,0
Personal Care,Hourly,Hourly,35,21.5,0,5,0,107.5,107.5,Female,55,Married,Caribbean Canadian,0,4,1,0
